ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
69643,Liaw Der-Cheng,M,19.0,180.0,71.0,Chinese Taipei,TPE,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Lightweight,
69701,"Edward J. ""Ed"" Liddie",M,25.0,172.0,60.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Extra-Lightweight,Bronze
69751,Lien Chen-Ling,F,28.0,168.0,57.0,Chinese Taipei,TPE,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight,
69904,Sergey Georgiyevich Lim,M,24.0,164.0,66.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Lightweight,
69924,Taciana Rezende de Lima Bald,F,32.0,164.0,48.0,Guinea Bissau,GBS,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,
70384,Soso Lip'art'eliani,M,25.0,178.0,78.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Middleweight,Bronze
70385,Varlam Lip'art'eliani,M,23.0,187.0,94.0,Georgia,GEO,2012 Summer,2012,Summer,London,Judo,Judo Men's Middleweight,
70385,Varlam Lip'art'eliani,M,27.0,187.0,94.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,Silver
70455,Lutz Lischka,M,28.0,182.0,80.0,Austria,AUT,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,
70529,"Garrick L. ""Rick"" Littlewood",M,31.0,180.0,78.0,New Zealand,NZL,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,
70544,Liu Anpai,M,22.0,187.0,95.0,China,CHN,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Heavyweight,
70546,Anthony Liu,M,25.0,,99.0,American Samoa,ASA,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Heavyweight,
70555,Liu Chuang,F,21.0,164.0,56.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Lightweight,
70603,Liu Junlin,M,21.0,184.0,86.0,China,CHN,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,
70603,Liu Junlin,M,25.0,184.0,86.0,China,CHN,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Middleweight,
70615,Liu Lizhe,F,20.0,162.0,63.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Half-Middleweight,
70629,Liu Renwang,M,22.0,173.0,60.0,China,CHN,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Extra-Lightweight,
70635,Liu Shenggang,M,19.0,205.0,145.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Heavyweight,
70639,Liu Shu-Yun,F,23.0,170.0,70.0,Chinese Taipei,TPE,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Middleweight,
70649,Liu Wei-Ting,M,21.0,196.0,81.0,Chinese Taipei,TPE,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Welterweight,
70651,Liu Xia,F,25.0,178.0,78.0,China,CHN,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Heavyweight,Silver
70660,Liu Xiaobo,M,24.0,201.0,102.0,China,CHN,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Heavyweight,
70660,Liu Xiaobo,M,28.0,201.0,102.0,China,CHN,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Heavyweight,Bronze
70702,Liu Yuxiang,F,24.0,159.0,57.0,China,CHN,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Lightweight,Bronze
70702,Liu Yuxiang,F,28.0,159.0,57.0,China,CHN,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Lightweight,
70713,Veera Marita Liukkonen (-Ruoho),F,31.0,180.0,71.0,Finland,FIN,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Women's Heavyweight,
70720,Roman Livaja,M,25.0,190.0,80.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Welterweight,
70797,Lkhagvasrengiin Otgonbaatar,M,23.0,182.0,94.0,Mongolia,MGL,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,
70798,Lkhamaasrengiin Badamsren,F,20.0,,,Mongolia,MGL,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Half-Middleweight,
70884,Lo Yu-Wei,M,27.0,170.0,78.0,Chinese Taipei,TPE,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Middleweight,
70914,Henri-Richard Lobe,M,35.0,177.0,85.0,Cameroon,CMR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Middleweight,
70918,Axel Lobenstein,M,27.0,180.0,88.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Middleweight,
70942,Mevlud Lobzhanidze,M,27.0,184.0,95.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Heavyweight,
71019,Andrs Alejandro Loforte,M,25.0,185.0,100.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Heavyweight,
71112,Dilara Lokmanhekim,F,22.0,165.0,48.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,
71119,Sven Loll,M,24.0,182.0,71.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Lightweight,Silver
71136,"Marie Isabelle Franoise ""Marisabelle"" Lomba",F,21.0,165.0,57.0,Belgium,BEL,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Lightweight,Bronze
71136,"Marie Isabelle Franoise ""Marisabelle"" Lomba",F,26.0,165.0,57.0,Belgium,BEL,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Lightweight,
71140,Hctor Lombard,M,22.0,170.0,73.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Lightweight,
71168,Tony Lomo,M,28.0,,59.0,Solomon Islands,SOL,2012 Summer,2012,Summer,London,Judo,Judo Men's Extra-Lightweight,
71289,Stanko Lopati,M,28.0,181.0,85.0,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Middleweight,
71333,Carola Malvina Lpez Rodrguez,F,30.0,164.0,49.0,Argentina,ARG,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Flyweight,
71341,Diana Lopez,F,24.0,178.0,58.0,United States,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Featherweight,Bronze
71341,Diana Lopez,F,28.0,178.0,58.0,United States,USA,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Featherweight,
71420,Lus Gregorio Lpez,M,21.0,186.0,100.0,Venezuela,VEN,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Heavyweight,
